Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\Ifremer\Pira-Smart-RS485-Addon\04_OUTPUT_FILES\Pira_Smart_R485_Add-On_V1_PICK & PLACE\Pira_Smart_R485_Add-On_V1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       29/05/19
Time:       08:21
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment","IRNAS Part No."
"FM2","FIDUCAL","56.5302","2.8000","56.5302","2.8000","56.5302","2.8000","TopLayer","0","FIDUCAL MARKER",""
"FM1","FIDUCAL","2.5000","21.6000","2.5000","21.6000","2.5000","21.6000","TopLayer","0","FIDUCAL MARKER",""
"R22","RES0603","33.3500","20.6000","33.3500","20.6000","34.1000","20.6000","TopLayer","180","0R","I-100011"
"R21","RES0603","28.7895","23.1000","28.7895","23.1000","29.5395","23.1000","TopLayer","180","0R","I-100011"
"U2","SOIC-8_REFLOW","19.0650","17.3000","19.0650","17.3000","20.9700","19.9000","TopLayer","180","SN65HVD72",""
"P1","691305140004","20.7002","7.8502","20.7000","4.6500","15.4502","7.8502","TopLayer","360","WR-TBL - 691305140004",""
"U4","SOIC-16","47.9750","13.9000","51.5150","9.5000","52.4200","16.5000","TopLayer","180","SN74LV4052A",""
"U3","QFN40P300X300X105_HS-25N","32.5000","15.0000","32.5000","15.0000","31.0000","16.0000","TopLayer","0","MPU-9250",""
"T5","SOT23-3AL","56.4700","11.3436","56.4700","11.3436","55.5000","10.3736","TopLayer","90","BSS123",""
"T4","SOT23-3AL","56.5000","19.0500","56.5000","19.0500","57.4700","20.0200","TopLayer","270","BSS123",""
"R20","RES0603","56.5000","13.8236","56.5000","13.8236","57.2500","13.8236","TopLayer","180","10k","I-100008"
"R19","RES0603","56.4500","8.8736","56.4500","8.8736","57.2000","8.8736","TopLayer","180","10k","I-100008"
"R18","RES0603","56.5000","16.3500","56.5000","16.3500","55.7500","16.3500","TopLayer","360","10k","I-100008"
"R17","RES0603","56.5500","21.8000","56.5500","21.8000","55.8000","21.8000","TopLayer","360","10k","I-100008"
"P2","691305140004","38.6502","7.8502","38.6500","4.6500","33.4002","7.8502","TopLayer","360","WR-TBL - 691305140004",""
"CON2","JST-xH","62.1780","15.0844","62.1000","15.0504","62.1780","18.8344","TopLayer","90","JST-xH",""
"C12","CAP0603","52.4500","8.1000","52.4500","8.1000","52.4500","7.3500","TopLayer","90","1uF","I-200006"
"C11","CAP0603","54.0420","8.1000","54.0420","8.1000","54.0420","7.3500","TopLayer","90","100nF","I-200005"
"C10","CAP0603","33.8500","11.5500","33.8500","11.5500","33.1000","11.5500","TopLayer","360","100nF","I-200005"
